frame_index,timestamp (ms),is_change,delta (ms)
215,3583.3333,0,0.0000
216,3600.0000,1,33.3333
217,3616.6667,0,0.0000
218,3633.3333,1,33.3333
219,3650.0000,0,0.0000
220,3666.6667,1,33.3333
221,3683.3333,0,0.0000
222,3700.0000,1,33.3333
223,3716.6667,0,0.0000
224,3733.3333,1,33.3333
225,3750.0000,0,0.0000
226,3766.6667,1,33.3333
227,3783.3333,0,0.0000
228,3800.0000,1,33.3333
229,3816.6667,0,0.0000
230,3833.3333,1,33.3333
231,3850.0000,0,0.0000
232,3866.6667,1,33.3333
233,3883.3333,0,0.0000
234,3900.0000,1,33.3333
235,3916.6667,0,0.0000
236,3933.3333,1,33.3333
237,3950.0000,0,0.0000
238,3966.6667,1,33.3333
239,3983.3333,0,0.0000
240,4000.0000,1,33.3333
241,4016.6667,0,0.0000
242,4033.3333,1,33.3333
243,4050.0000,0,0.0000
244,4066.6667,1,33.3333
245,4083.3333,0,0.0000
246,4100.0000,1,33.3333
247,4116.6667,0,0.0000
248,4133.3333,1,33.3333
249,4150.0000,0,0.0000
250,4166.6667,1,33.3333
251,4183.3333,0,0.0000
252,4200.0000,1,33.3333
253,4216.6667,0,0.0000
254,4233.3333,1,33.3333
255,4250.0000,0,0.0000
256,4266.6667,1,33.3333
257,4283.3333,0,0.0000
258,4300.0000,1,33.3333
259,4316.6667,0,0.0000
260,4333.3333,1,33.3333
261,4350.0000,0,0.0000
262,4366.6667,1,33.3333
263,4383.3333,0,0.0000
264,4400.0000,1,33.3333
265,4416.6667,0,0.0000
266,4433.3333,1,33.3333
267,4450.0000,0,0.0000
268,4466.6667,1,33.3333
269,4483.3333,0,0.0000
270,4500.0000,1,33.3333
271,4516.6667,0,0.0000
272,4533.3333,1,33.3333
273,4550.0000,0,0.0000
274,4566.6667,1,33.3333
275,4583.3333,0,0.0000
276,4600.0000,1,33.3333
277,4616.6667,0,0.0000
278,4633.3333,1,33.3333
279,4650.0000,0,0.0000
280,4666.6667,1,33.3333
281,4683.3333,0,0.0000
282,4700.0000,1,33.3333
283,4716.6667,0,0.0000
284,4733.3333,1,33.3333
285,4750.0000,0,0.0000
286,4766.6667,1,33.3333
287,4783.3333,0,0.0000
288,4800.0000,1,33.3333
289,4816.6667,0,0.0000
290,4833.3333,1,33.3333
291,4850.0000,0,0.0000
292,4866.6667,1,33.3333
293,4883.3333,0,0.0000
294,4900.0000,1,33.3333
295,4916.6667,0,0.0000
296,4933.3333,1,33.3333
297,4950.0000,0,0.0000
298,4966.6667,1,33.3333
299,4983.3333,0,0.0000
300,5000.0000,1,33.3333
301,5016.6667,0,0.0000
302,5033.3333,1,33.3333
303,5050.0000,0,0.0000
304,5066.6667,1,33.3333
305,5083.3333,0,0.0000
306,5100.0000,1,33.3333
307,5116.6667,0,0.0000
308,5133.3333,1,33.3333
309,5150.0000,0,0.0000
310,5166.6667,1,33.3333
311,5183.3333,0,0.0000
312,5200.0000,1,33.3333
313,5216.6667,0,0.0000
314,5233.3333,1,33.3333
315,5250.0000,0,0.0000
316,5266.6667,1,33.3333
317,5283.3333,0,0.0000
318,5300.0000,1,33.3333
319,5316.6667,0,0.0000
320,5333.3333,1,33.3333
321,5350.0000,0,0.0000
322,5366.6667,1,33.3333
323,5383.3333,0,0.0000
324,5400.0000,1,33.3333
325,5416.6667,0,0.0000
326,5433.3333,1,33.3333
327,5450.0000,0,0.0000
328,5466.6667,1,33.3333
329,5483.3333,0,0.0000
330,5500.0000,1,33.3333
331,5516.6667,0,0.0000
332,5533.3333,1,33.3333
333,5550.0000,0,0.0000
334,5566.6667,1,33.3333
335,5583.3333,0,0.0000
336,5600.0000,1,33.3333
337,5616.6667,0,0.0000
338,5633.3333,1,33.3333
339,5650.0000,0,0.0000
340,5666.6667,1,33.3333
341,5683.3333,0,0.0000
342,5700.0000,1,33.3333
343,5716.6667,0,0.0000
344,5733.3333,1,33.3333
345,5750.0000,0,0.0000
346,5766.6667,1,33.3333
347,5783.3333,0,0.0000
348,5800.0000,1,33.3333
349,5816.6667,0,0.0000
350,5833.3333,1,33.3333
351,5850.0000,0,0.0000
352,5866.6667,1,33.3333
353,5883.3333,0,0.0000
354,5900.0000,1,33.3333
355,5916.6667,0,0.0000
356,5933.3333,1,33.3333
357,5950.0000,0,0.0000
358,5966.6667,1,33.3333
359,5983.3333,0,0.0000
360,6000.0000,1,33.3333
361,6016.6667,0,0.0000
362,6033.3333,1,33.3333
363,6050.0000,0,0.0000
364,6066.6667,1,33.3333
365,6083.3333,0,0.0000
366,6100.0000,1,33.3333
367,6116.6667,0,0.0000
368,6133.3333,1,33.3333
369,6150.0000,0,0.0000
370,6166.6667,1,33.3333
371,6183.3333,0,0.0000
372,6200.0000,1,33.3333
373,6216.6667,0,0.0000
374,6233.3333,1,33.3333
375,6250.0000,0,0.0000
376,6266.6667,1,33.3333
377,6283.3333,0,0.0000
378,6300.0000,1,33.3333
379,6316.6667,0,0.0000
380,6333.3333,1,33.3333
381,6350.0000,0,0.0000
382,6366.6667,1,33.3333
383,6383.3333,0,0.0000
