Frame,Time (ms),Changed,DeltaMS
0,0.0,True,0.0
1,16.666666666666668,True,16.666666666666668
2,33.333333333333336,True,16.666666666666668
3,50.0,True,16.666666666666664
4,66.66666666666667,False,0.0
5,83.33333333333334,True,16.66666666666667
6,100.0,True,16.666666666666657
7,116.66666666666667,True,16.66666666666667
8,133.33333333333334,False,0.0
9,150.0,True,16.666666666666657
10,166.66666666666669,True,16.666666666666686
11,183.33333333333334,True,16.666666666666657
12,200.0,False,0.0
13,216.66666666666669,True,16.666666666666686
14,233.33333333333334,True,16.666666666666657
15,250.0,True,16.666666666666657
16,266.6666666666667,False,0.0
17,283.3333333333333,True,16.66666666666663
18,300.0,True,16.666666666666686
19,316.6666666666667,True,16.666666666666686
20,333.33333333333337,False,0.0
21,350.00000000000006,True,16.666666666666686
22,366.6666666666667,True,16.66666666666663
23,383.33333333333337,False,0.0
24,400.0,True,16.66666666666663
25,416.6666666666667,True,16.666666666666686
26,433.33333333333337,True,16.666666666666686
27,450.0,False,0.0
28,466.6666666666667,True,16.666666666666686
29,483.3333333333333,True,16.66666666666663
30,500.0,True,16.666666666666686
31,516.6666666666667,False,0.0
32,533.3333333333334,True,16.66666666666663
33,550.0,True,16.66666666666663
34,566.6666666666666,True,16.66666666666663
35,583.3333333333334,False,0.0
36,600.0,True,16.66666666666663
37,616.6666666666667,True,16.666666666666742
38,633.3333333333334,False,0.0
39,650.0,True,16.66666666666663
40,666.6666666666667,True,16.666666666666742
41,683.3333333333334,True,16.66666666666663
42,700.0000000000001,False,0.0
43,716.6666666666666,True,16.666666666666515
44,733.3333333333334,True,16.666666666666742
45,750.0,True,16.66666666666663
46,766.6666666666667,False,0.0
47,783.3333333333334,True,16.66666666666663
48,800.0,True,16.66666666666663
49,816.6666666666666,True,16.66666666666663
50,833.3333333333334,False,0.0
51,850.0000000000001,True,16.666666666666742
52,866.6666666666667,True,16.66666666666663
53,883.3333333333334,True,16.66666666666663
54,900.0,False,0.0
55,916.6666666666667,True,16.666666666666742
56,933.3333333333334,True,16.66666666666663
57,950.0000000000001,True,16.666666666666742
58,966.6666666666666,False,0.0
59,983.3333333333334,True,16.666666666666742
60,1000.0,True,16.66666666666663
61,1016.6666666666666,False,0.0
62,1033.3333333333335,True,16.666666666666856
63,1050.0,True,16.666666666666515
64,1066.6666666666667,True,16.666666666666742
65,1083.3333333333335,False,0.0
66,1100.0,True,16.666666666666515
67,1116.6666666666667,True,16.666666666666742
68,1133.3333333333333,True,16.666666666666515
69,1150.0000000000002,False,0.0
70,1166.6666666666667,True,16.666666666666515
71,1183.3333333333333,True,16.666666666666515
72,1200.0,True,16.666666666666742
73,1216.6666666666667,False,0.0
74,1233.3333333333335,True,16.666666666666742
75,1250.0,True,16.666666666666515
76,1266.6666666666667,True,16.666666666666742
77,1283.3333333333335,False,0.0
78,1300.0,True,16.666666666666515
79,1316.6666666666667,True,16.666666666666742
80,1333.3333333333335,True,16.666666666666742
81,1350.0,True,16.666666666666515
82,1366.6666666666667,False,0.0
83,1383.3333333333333,True,16.666666666666515
84,1400.0000000000002,True,16.66666666666697
85,1416.6666666666667,True,16.666666666666515
86,1433.3333333333333,False,0.0
87,1450.0000000000002,True,16.66666666666697
88,1466.6666666666667,True,16.666666666666515
89,1483.3333333333335,True,16.666666666666742
90,1500.0,False,0.0
91,1516.6666666666667,True,16.666666666666742
92,1533.3333333333335,True,16.666666666666742
93,1550.0,True,16.666666666666515
94,1566.6666666666667,True,16.666666666666742
95,1583.3333333333335,False,0.0
96,1600.0,True,16.666666666666515
97,1616.6666666666667,True,16.666666666666742
98,1633.3333333333333,True,16.666666666666515
99,1650.0000000000002,False,0.0
100,1666.6666666666667,True,16.666666666666515
101,1683.3333333333333,True,16.666666666666515
102,1700.0000000000002,True,16.66666666666697
103,1716.6666666666667,True,16.666666666666515
104,1733.3333333333335,False,0.0
105,1750.0,True,16.666666666666515
106,1766.6666666666667,True,16.666666666666742
107,1783.3333333333335,True,16.666666666666742
108,1800.0,False,0.0
109,1816.6666666666667,True,16.666666666666742
110,1833.3333333333335,True,16.666666666666742
111,1850.0,True,16.666666666666515
112,1866.6666666666667,True,16.666666666666742
113,1883.3333333333335,False,0.0
114,1900.0000000000002,True,16.666666666666742
115,1916.6666666666667,True,16.666666666666515
116,1933.3333333333333,True,16.666666666666515
117,1950.0000000000002,False,0.0
118,1966.6666666666667,True,16.666666666666515
119,1983.3333333333335,True,16.666666666666742
120,2000.0,True,16.666666666666515
121,2016.6666666666665,False,0.0
122,2033.3333333333333,True,16.666666666666742
123,2050.0000000000005,True,16.666666666667197
124,2066.666666666667,True,16.666666666666515
125,2083.3333333333335,True,16.666666666666515
126,2100.0,False,0.0
127,2116.6666666666665,True,16.666666666666515
128,2133.3333333333335,True,16.66666666666697
129,2150.0,True,16.666666666666515
130,2166.666666666667,True,16.66666666666697
131,2183.3333333333335,False,0.0
132,2200.0,True,16.666666666666515
133,2216.666666666667,True,16.66666666666697
134,2233.3333333333335,True,16.666666666666515
135,2250.0,False,0.0
136,2266.6666666666665,True,16.666666666666515
137,2283.3333333333335,True,16.66666666666697
138,2300.0000000000005,True,16.66666666666697
139,2316.666666666667,True,16.666666666666515
140,2333.3333333333335,False,0.0
141,2350.0,True,16.666666666666515
142,2366.6666666666665,True,16.666666666666515
143,2383.3333333333335,True,16.66666666666697
144,2400.0,False,0.0
145,2416.666666666667,True,16.66666666666697
146,2433.3333333333335,True,16.666666666666515
147,2450.0,True,16.666666666666515
148,2466.666666666667,True,16.66666666666697
